Iteration	Posterior	Likelihood	Prior	r12	r14	r15	r2	r3	r5	r8	r9
87000	-3.72771	-19.8769	16.1492	0.02996756	0.0004133143	0.001934764	0.05884481	0.01863107	0.1412027	0.07353194	0.06630766
87500	-2.82161	-19.9254	17.1038	0.06106361	0.001503506	0.0005852348	0.02103049	0.01540536	0.04055642	0.1820076	0.02094869
88000	-14.4254	-24.1515	9.72611	0.1863913	0.01642087	0.001372974	0.1565611	0.04137597	0.0887249	0.1872544	0.03388572
88500	-4.86635	-19.2548	14.3885	0.1530034	0.002781523	0.001891157	0.002171137	0.03584874	0.1192304	0.1437802	0.02016287
89000	-2.81088	-20.4544	17.6435	0.06757634	0.001127057	0.003414122	0.03606178	0.03653003	0.1293189	0.02072194	0.02136558
89500	-1.77086	-19.7009	17.93	0.0999398	0.001407165	0.002223446	0.0120135	0.06312644	0.04231466	0.06630824	0.01445872
90000	-2.68757	-19.4832	16.7957	0.09868787	0.0002131887	0.001961925	0.04772318	0.07197083	0.06058416	0.01314658	0.06422255
90500	3.34406	-17.1904	20.5344	0.0136892	0.0007514477	4.469633e-06	0.001092343	0.01791463	0.03698493	0.09346124	0.007672153
91000	-6.09892	-21.2534	15.1545	0.08714197	0.00388817	0.00360691	0.01098308	0.179281	0.03555598	0.07535894	0.04475305
91500	-4.082	-20.1353	16.0533	0.0956907	0.001823823	0.003060449	0.06059252	0.04485651	0.009815669	0.1098052	0.06998337
92000	1.74436	-20.6663	22.4107	0.02702885	0.0006367684	0.0004587582	0.01080813	0.003421331	0.02622573	0.00418749	0.004991106
92500	-9.07834	-19.6417	10.5634	0.1193016	0.0004379663	0.002136381	0.07319014	0.09744453	0.06561652	0.1218706	0.1901248
93000	-4.64554	-18.6983	14.0528	0.07036041	4.65537e-05	0.003793147	0.03393652	0.06761395	0.07576413	0.1728115	0.07132873
93500	-0.194425	-19.0079	18.8135	0.02904469	0.001481519	0.001014665	0.02283422	0.01791955	0.05871391	0.1197789	0.006829682
94000	-2.15424	-19.6308	17.4766	0.1137331	0.0003049197	0.002552746	0.02592873	0.0191922	0.09467459	0.06630334	0.001773323
94500	-2.95201	-20.0441	17.0921	0.08515217	0.002316726	9.582677e-05	0.03692689	0.03514972	0.1389261	0.03939087	0.005729892
95000	-16.0884	-21.278	5.18957	0.3563399	0.009128202	0.007164746	0.07906932	0.03591737	0.2330415	0.2099942	0.008159243
95500	2.43217	-19.1448	21.577	0.01347432	0.0005975467	0.0003484601	0.01038772	0.02807346	0.02907347	0.008232294	0.02925639
96000	-2.38294	-19.3531	16.9702	0.1658487	0.0003404199	0.003963371	0.02071261	0.006807651	0.07524077	0.04638089	0.03048898
96500	3.18074	-17.6294	20.8102	0.019627	5.016489e-05	0.0006754806	0.002815425	0.01732262	0.01197245	0.06390014	0.04142099
97000	-6.41201	-20.1956	13.7836	0.03055423	0.0004493949	0.004476501	0.1225173	0.0664322	0.05281154	0.167298	0.06457553
97500	3.09916	-18.069	21.1682	0.001333858	0.0003714021	0.0003262018	0.01647253	0.02156409	0.07320574	0.01447305	0.01213845
98000	-9.07671	-19.1937	10.117	0.08147965	0.0003976961	0.006023595	0.1199744	0.08927104	0.03108334	0.2709377	0.09327376
98500	-3.31338	-19.4908	16.1774	0.04392174	0.00379297	0.001758358	0.003511381	0.04330898	0.04512857	0.2376881	0.01031248
99000	-2.40086	-19.8225	17.4217	0.04512492	0.0003602255	0.0004791682	0.09074157	0.04056773	0.1060696	0.01950791	0.02435797
99500	-10.3021	-23.2951	12.993	0.3060988	0.005108207	0.02299847	0.0298534	0.01588262	0.01873898	0.119247	0.03071401
